location,event,date,artists,genre,coordinates
Zürich,Attwenger,2013-06-28,['Attwenger '],Pop,"(47.3768866, 8.541694)"
Wallisellen,Eliot-Chambers,2013-06-28,['Eliot Chambers '],,"(47.4156189, 8.588972199999999)"
Sommercasino,Basel,2013-06-28,['Blackmail '],Blackmail,"(47.5474016, 7.5985706)"
Zürich,The-Heat,2013-06-28,['DJs Rudy Reefer '],,"(47.3768866, 8.541694)"
Winterthur,Russischer-Weihnachtszauber,2013-12-21,"[' Praxedis Hug-Rütti ', ' Praxedis Geneviève Hug ']",Classic,"(47.49881959999999, 8.723688899999999)"
Luzern,Piano-Entertainment,2013-12-21,['Fabienne Ambühl '],,"(47.05016819999999, 8.309307200000001)"
Zürich,Mass-of-the-Children,2013-12-21,"[' Pauline Persoud ', ' Richard Helm ']",Classic,"(47.3768866, 8.541694)"
Luzern,Messiah,2013-12-21,"[' Núria Rial ', ' Robin Blaze ', ' Benjamin Hulett ', ' Mark Stone ']",Classic,"(47.05016819999999, 8.309307200000001)"
Olten,Weihnachtskonzert,2013-12-21,"['Sol Gabetta ', ' conductor: Andrés Gabetta ']",Classic,"(47.3499624, 7.9037033)"
Zürich,Panzerballet,2013-12-21,['Panzerballet '],,"(47.3768866, 8.541694)"
Zürich,Weihnachtsgala,2013-12-21,"[' Astrid Leutwyler ', ' Sonja Leutwyler ', ' Rafael Rütti ']",Classic,"(47.3768866, 8.541694)"
Zürich,Konzert,2013-12-21,[' Jan Lisiecki '],Classic,"(47.3768866, 8.541694)"
Zofingen,Weihnachtskonzert,2013-12-21,[' Ruedi Häberli '],Classic,"(47.2888449, 7.9447619)"
Zürich,BBB-Piano-Masters,2013-12-21,['Katharina Treutler '],Classic,"(47.3768866, 8.541694)"
Zürich,Farbmusik-Musik-zu-Farben,2013-12-21,['Hanspeter Kruesi '],,"(47.3768866, 8.541694)"
Basel,Weihnachtsoratorium-von-Johann-Sebastian-Bach,2013-12-21,"['Mirjam Berli ', ' Roswitha Müller ', ' Jakob Pilgram ', ' Markus Flaig ']",Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Vom-Himmel-hoch,2013-12-21,['Jörg-Andreas Bötticher '],Classic,"(47.55959860000001, 7.588576099999999)"
Burgdorf,To-Go-Blues-and-More,2013-12-21,"['Lukas Fässler ', ' Ralf Norgel ', ' Marco Andrey ', ' Marcel Riesen ', ' Dominic Hauser ']",,"(47.0559357, 7.627224299999999)"
Zürich,Merz-feat.-Sartorius-Drum-Ensemble,2013-12-21,"[' Merz Merz ', ' Julian Sartorius ', ' Peter Conradin Zumthor ', ' Arno Troxler ', ' Lionel Friedli ']",Pop,"(47.3768866, 8.541694)"
Basel,Malcolm-Braff-Inside,2013-12-21,"[' Malcolm Braff ', ' Reggie Washington ', ' Lukas Koenig ']",,"(47.55959860000001, 7.588576099999999)"
Baden,Kellner,2013-12-21,['Kellner '],,"(47.47288, 8.308089999999998)"
Pratteln,Liv-Kristine,2013-12-21,['Liv Kristine '],,"(47.5183198, 7.6919889)"
Bern,Ynight-Klassik-im-Klub,2013-12-21,['Gabriel Prokofiev '],Classic,"(46.9479739, 7.447446800000001)"
Bellinzona,The-Antony-Morgan's-Choir,2013-12-21,"[""The Antony Morgan's Choir ""]",,"(46.1946216, 9.0244124)"
Zürich,Swingin'-Christmas-Night,2013-12-21,"[' Andrina Bollinger ', ' Raphael Jost ', ' Lukas Thöni ', ' Christoph Grab ', ' Raphael Walser ', ' Pius Baschnagel ']",,"(47.3768866, 8.541694)"
Baden,Dr.-Woggle-and-the-Radio,2013-12-21,['Dr. Woggle and the Radio '],,"(47.47288, 8.308089999999998)"
Sursee,Roy-de-Roy,2013-12-21,['Roy de Roy '],,"(47.1714819, 8.111131199999999)"
Zürich,David-Rodigan,2013-12-21,['David Rodigan '],,"(47.3768866, 8.541694)"
Schaffhausen,Electro-Swing-Stories,2013-12-21,['DJs Dunkelbunt '],,"(47.6958897, 8.6380488)"
Bern,Eldorado-Christmas,2013-12-21,['Glanton Gang '],,"(46.9479739, 7.447446800000001)"
Bern,Darkside,2013-12-21,"['DJs Ed Rush ', ' Optical ', ' Optiv ', ' MC Rymetyme ']",Electronic,"(46.9479739, 7.447446800000001)"
St.-Moritz,Festival-da-Jazz,2016-07-14,"[' Michael Bucher ', ' Thomas Bauser ', ' Sheldon Suter ']",,"(46.4907973, 9.835507899999998)"
Münchenstein,Summer-Stage,2016-07-14,"['Cro ', ' Malky ']",,"(47.5226485, 7.615066100000002)"
Zürich,Beyoncé,2016-07-14,['Beyoncé '],,"(47.3768866, 8.541694)"
Vitznau,Rigi-Musiktage,2016-07-14,[' Diemut Poppen '],Classic,"(47.0102021, 8.483355799999998)"
Saanen,Musique-&-Famille-I-Sisters-I,2016-07-14,"['Katia Labèque ', ' Marielle Labèque ']",Classic,"(46.4741066, 7.285492099999998)"
Zürich,Zürcher-Orgel-Spiel,2016-07-14,"[' Marco Amherd ', ' Gregor Ehrsam ', ' Harald Feller ', ' Pater Theo Flury ', ' Sacha Rüegg ', ' Min Woo ']",Classic,"(47.3768866, 8.541694)"
Locarno,Moon-and-Stars,2016-07-14,"['Earth Wind & Fire ', ' Tom Jones ']",Pop,"(46.16699879999999, 8.7942643)"
Montreux,Montreux-Jazz-Festival,2016-07-14,"['Santana ', ' Marcus Miller ']",,"(46.4312213, 6.910679899999999)"
Montreux,Montreux-Jazz-Festival,2016-07-14,"['Curtis Stigers ', ' Cécile McLorin Salvant ']",,"(46.4312213, 6.910679899999999)"
Montreux,Montreux-Jazz-Festival,2016-07-14,"['Floating Points ', ' Kiasmos ', ' Four Tet ']",Electronic,"(46.4312213, 6.910679899999999)"
Basel,Clovis-Nicolas-Quintet,2016-07-14,"[' Steve Fishwick ', ' Luca Stoll ', ' Laurent Courthaliac ', ' Clovis Nicolas ', ' Luca Santaniello ']",,"(47.55959860000001, 7.588576099999999)"
St.-Moritz,Festival-da-Jazz,2016-07-14,"['Avishai Cohen Quartet ', ' Avishai Cohen ', ' Yonathan Avishai ', ' Nasheet Waits ', ' Yoni Zelnik ']",,"(46.4907973, 9.835507899999998)"
Bern,View,2016-07-14,['View '],,"(46.9479739, 7.447446800000001)"
St.-Moritz,Festival-da-Jazz,2016-07-14,"['Äl Jawala ', ' Steffi Schimmer ', ' Krischan Lukanow ', ' Daniel Verdier ', ' Markus Schumacher ', ' Daniel Pellegrini ']",,"(46.4907973, 9.835507899999998)"
Winterthur,Midi-musical-Melodien-&-Musse-über-Mittag,2015-10-30,"['Innhyuck Cho ', ' Chie Tanaka ']",Classic,"(47.49881959999999, 8.723688899999999)"
Basel,Roche'n'Jazz,2015-10-30,"[' Mats Spillmann ', ' Donat Fisch ', ' Bokani Dyer ', ' Stephan Kurmann ', ' Norbert Pfammatter ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Andy-Gruber-Band,2015-10-30,['Andy Gruber Band '],traditional,"(47.3768866, 8.541694)"
Basel,Orgelspiel-zum-Feierabend,2015-10-30,"['Nathan Hubov ', ' Sébastien Kalbfuss ', ' Alicia Joho ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Celo-&-Abdi,2015-10-30,['Celo & Abdi '],,"(47.3768866, 8.541694)"
Schaffhausen,40-Jahre-Guggenmusik-Bölle-Frässer-Schaffhausen,2015-10-30,[' Tom Alex Band Gottmadingen '],traditional,"(47.6958897, 8.6380488)"
Zürich,Duoabend-mit-Gavriel-Lipkind,2015-10-30,"['Gavriel Lipkind ', ' Roman Zaslavsky ']",Classic,"(47.3768866, 8.541694)"
Bern,Camerata-Schweiz,2015-10-30,"['Gautier Capuçon ', ' Chiara Enderle ']",Classic,"(46.9479739, 7.447446800000001)"
Basel,2.-Abonnementskonzert,2015-10-30,[' Judith Schmid '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Jazznojazz,2015-10-30,"[' Maceo Parker ', ' Dennis Rollins ', ' Will Boulware ', ' Bruno Speight ', ' Rodney Curtis ', ' Marcus Parker ']",,"(47.3768866, 8.541694)"
Basel,In-den-Tropfen-der-Zeit,2015-10-30,"['Rahel Binetti ', ' Bernhard Affolter ']",Classic,"(47.55959860000001, 7.588576099999999)"
Luzern,Philharmonica-Orchestra-London,2015-10-30,[' Arabella Steinbacher '],Classic,"(47.05016819999999, 8.309307200000001)"
Kloten,Hank-Shizzoe-Trio,2015-10-30,"[' Hank Shizzoe ', ' Simon Baumann ', ' Tom Etter ']",,"(47.44951159999999, 8.5821648)"
Dottikon,A-Night-at-the-Movies,2015-10-30,[' Cathryn Lehmann '],Classic,"(47.3830192, 8.2430405)"
Zürich,Ensemble-für-Neue-Musik-Zürich,2015-10-30,"['Hans-Peter Frehner ', ' Manfred Spitaler ', ' Viktor Müller ', ' Lorenz Haas ', ' Daniela Müller ', ' Nicola Romanò ']",Classic,"(47.3768866, 8.541694)"
Lausanne,Kid-Ink,2015-10-30,['Kid Ink '],,"(46.516054, 6.608998000000001)"
Zürich,Jazznojazz,2015-10-30,"[' Nguyên Lê ', ' Himiko Paganotti ', ' Stéphane Guillaume ', ' Sylvain Gontard ', ' Céline Bonacina ']",,"(47.3768866, 8.541694)"
Uster,Andy-Harder-Trio,2015-10-30,"[' Andy Harder ', ' Lorenz Beyeler ', ' Tobias Friedli ']",,"(47.3482747, 8.717873899999999)"
Zürich,Letz-Zep,2015-10-30,['Letz Zep '],,"(47.3768866, 8.541694)"
Bern,Culcha-Candela,2015-10-30,['Culcha Candela '],,"(46.9479739, 7.447446800000001)"
Pratteln,Stratovarius,2015-10-30,['Stratovarius '],,"(47.5183198, 7.6919889)"
Zürich,Swiss-Oergeler,2015-10-30,"[' Prisca ', ' Alicia ', ' Sepp ']",,"(47.3768866, 8.541694)"
Arbon,Bilder-einer-Ausstellung,2015-10-30,['Simon Savoy '],Classic,"(47.51409049999999, 9.4268301)"
Zürich,Giust-Gulli-Pacorig-Pascolo,2015-10-30,"['Giust-Gulli-Pacorig-Pascolo ', ' Stefano Giust ', ' Andrea Gulli ', ' Giorgio Pacorig ', ' Paolo Pascolo ']",,"(47.3768866, 8.541694)"
Winterthur,ChaChaLoca,2015-10-30,"[' Roman Glaser ', ' Alain von Ritter ', ' Richard Pechota ', ' Jost Müller ']",,"(47.49881959999999, 8.723688899999999)"
Basel,Steve-Gadd-&-Friends,2015-10-30,"['Steve Gadd & Friends ', ' Michael Landau ', ' Walt Fowler ', ' Larry Goldings ', ' Jimmy Johnson ', ' Steve Gadd ']",,"(47.55959860000001, 7.588576099999999)"
Arlesheim,Zwei-für-Eins,2015-10-30,"[' Alain Schudel ', ' Daniel Schaerer ']",Classic,"(47.499576, 7.619221199999999)"
Bülach,The-Spirit-of-Life-Ensemble,2015-10-30,"['The Spirit of Life Ensemble ', ' Dwight West ', ' Rob Henke ', ' Chip Shelton ', ' Martin Kern ', ' Daoud-David Williams ']",,"(47.5160671, 8.5419603)"
Mühlethurnen,Duach,2015-10-30,['Duach '],,"(46.8133458, 7.507532299999999)"
Baden,Bacon-Fats,2015-10-30,"[' Jan Hartmann ', ' Sleepy Eddie James ', ' Tobias Wirz ', ' Lukas Meier ']",,"(47.47288, 8.308089999999998)"
Herisau,Grainne-Duffy,2015-10-30,['Grainne Duffy '],,"(47.3857009, 9.2798472)"
Winterthur,Last-Days-Of-April,2015-10-30,['Last Days Of April '],Pop,"(47.49881959999999, 8.723688899999999)"
Grenchen,Albert-Hammond,2015-10-30,['Albert Hammond '],Pop,"(47.1922876, 7.3958907)"
Basel,Bokani-Dyer-Quintet,2015-10-30,"[' Mats Spillmann ', ' Donat Fisch ', ' Bokani Dyer ', ' Stephan Kurmann ', ' Norbert Pfammatter ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Evelinn-Trouble,2015-10-30,"['Evelinn Trouble ', ' Evelinn Trouble ', ' Flo Götte ', ' Domi Chansorn ', ' Olivier Zurkirchen ']",,"(47.3768866, 8.541694)"
Basel,Johannes-Oerding,2015-10-30,['Johannes Oerding '],Pop,"(47.55959860000001, 7.588576099999999)"
Aarau,Schmutzki,2015-10-30,['Schmutzki '],,"(47.390434, 8.045701499999998)"
Zürich,Enjoy-It,2015-10-30,"[' Andrea Janser ', ' Philipp Mosimann ']",,"(47.3768866, 8.541694)"
Luzern,Barrence-Whitfield-&-The-Savages,2015-10-30,"['Barrence Whitfield & The Savages ', ' The Rockin Lafayettes ']",,"(47.05016819999999, 8.309307200000001)"
Wädenswil,Julie-Doiron,2015-10-30,"['Julie Doiron ', ' Laura Sauvage ']",,"(47.22968710000001, 8.6718189)"
Wetzikon,Kieran-Goss,2015-10-30,['Kieran Goss '],Pop,"(47.3270602, 8.801356)"
Baden,Vendetta,2015-10-30,"['Vendetta ', ' Opium du Peuple ', ' Fergusons ']",,"(47.47288, 8.308089999999998)"
Bern,Sinkane,2015-10-30,"['Sinkane ', ' Darkstar ', ' support: C. Gibbs ']",,"(46.9479739, 7.447446800000001)"
Kriens,Selvhenter,2015-10-30,['Selvhenter '],,"(47.03419779999999, 8.277255199999997)"
Zürich,Weird-Beard,2015-10-30,"[' Florian Egli ', ' Dave Gisler ', ' Martina Berther ', ' Rico Baumann ']",,"(47.3768866, 8.541694)"
Basel,Freitagsbar,2015-10-30,"[' Peter Zürrer Chiquet ', ' Olivier Herzig ', ' André Bigler ', ' Viola Svec ', ' Martin Heeb ', ' Röbs Günthert ']",,"(47.55959860000001, 7.588576099999999)"
Aarau,Looptroop-Rockers,2015-10-30,['Looptroop Rockers '],,"(47.390434, 8.045701499999998)"
Sankt-Gallen,Kilbi-im-Fall,2015-10-30,"['Suuns & Jerusalem in My Heart ', ' Factory Floor ', ' Jessica Pratt ']",,"(47.4244818, 9.3767173)"
Schaffhausen,The-Sweet,2015-10-30,['The Sweet '],,"(47.6958897, 8.6380488)"
Wetzikon,Beifuss-Festival,2015-10-30,[' Russell Joslin & Sarah McCaig '],,"(47.3270602, 8.801356)"
Schaffhausen,Upstairs-&-Loud,2015-10-30,['Pisse '],,"(47.6958897, 8.6380488)"
Zürich,Handsome-Hank,2015-10-30,['Handsome Hank '],,"(47.3768866, 8.541694)"
Zürich,Jazznojazz,2015-10-30,"[' Fred Wesley ', ' Gary Winters ', ' Phillip Whack ', ' Reggie Ward ', ' Peter Madsen ']",,"(47.3768866, 8.541694)"
Luzern,Whisky-&-Song,2015-10-30,['We Steal Flyers '],Pop,"(47.05016819999999, 8.309307200000001)"
Luzern,Dead-City-Ruins,2015-10-30,['Dead City Ruins '],,"(47.05016819999999, 8.309307200000001)"
Zürich,Jazznojazz,2015-10-30,"[' Seven ', ' Raphael Jakob ', ' Jean-Pierre von Dach ', ' Rose Ann Dimalanta Kirsch ', ' Philipp Schweidler ']",,"(47.3768866, 8.541694)"
Zürich,Latin-Touch,2015-10-30,[' dance animation by Alexander Martinez '],,"(47.3768866, 8.541694)"
Basel,Mos-&-Funky-Notes,2015-10-30,['Mos & Funky Notes '],,"(47.55959860000001, 7.588576099999999)"
Zürich,Jazznojazz,2015-10-30,"[' Jojo Mayer ', ' John Davis ', ' Jacob Bergson ', ' Aaron Nevezie ']",,"(47.3768866, 8.541694)"
Zürich,Jazznojazz,2015-10-30,"[' Stefan Rusconi ', ' Fabian Gisler ', ' Claudio Strüby ']",,"(47.3768866, 8.541694)"
Basel,Mimiko-Dieu-parmi-nous,2015-04-01,['Jan Sprta '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Art-Band,2015-04-01,['Art Band '],Pop,"(47.3768866, 8.541694)"
Binningen,Passionsandacht,2015-04-01,"['Andreas Böhlen ', ' Thomas Leininger ']",Classic,"(47.5378697, 7.570987799999998)"
Brugg,Passionskonzert-Oratorium-über-Johann-Hus,2015-04-01,"[' Seraina Perrenoud ', ' Mirjam Blessing ', ' Simon Witzig ', ' Richard Helm ']",Classic,"(47.48673549999999, 8.2109103)"
Bern,Brahms-Zweite,2015-04-01,"[' Oliver Schnyder ', ' Chloë Hanslip ']",Classic,"(46.9479739, 7.447446800000001)"
Winterthur,Sieben-letzte-Worte,2015-04-01,"[' Malin Hartelius ', ' Anna Stephany ', ' Ed Lyon ', ' Rudolf Rosen ']",Classic,"(47.49881959999999, 8.723688899999999)"
Zug,Keynote-Jazz,2015-04-01,"[' Sebastian Arnold ', ' André Bütikofer ', ' Linus Gmünder ', ' Gilles Schmid ', ' Lukas Züblin ']",,"(47.1661672, 8.5154946)"
Dornach,La-Banda-Ki,2015-04-01,"['Volker Biesenbender ', ' Michelangelo Rinaldi ', ' Clara Gervais ']",Classic,"(47.4790491, 7.6170412)"
Zürich,Steel-Panther,2015-04-01,['Steel Panther '],,"(47.3768866, 8.541694)"
Zürich,Vitali-Schilt-Walser-Gisler,2015-04-01,"[' Michi Vitali ', ' Rafael Schilt ', ' Raphi Walser ', ' Dave Gisler ']",,"(47.3768866, 8.541694)"
Zürich,Schmutzki,2015-04-01,['Schmutzki '],,"(47.3768866, 8.541694)"
Zürich,Angel-Dust,2015-04-01,['Angel Dust '],,"(47.3768866, 8.541694)"
Zürich,The-Dandy-Warhols,2015-04-01,['The Dandy Warhols '],,"(47.3768866, 8.541694)"
Zürich,Jazzbaragge-Wednesday-Jam,2015-04-01,"['Raphael Jost ', ' Christoph Utzinger ', ' Kevin Chesham ']",,"(47.3768866, 8.541694)"
Winterthur,Jazz-am-Mittwoch,2015-04-01,"[' Alexandre Maurer ', ' Fabian F. Mueller ', ' Niklaus Hürny ', ' Kaspar von Grünigen ']",,"(47.49881959999999, 8.723688899999999)"
Lausanne,Nneka,2015-04-01,['Nneka '],,"(46.516054, 6.608998000000001)"
Basel,Tom-James,2015-04-01,"['Tom James ', ' Tom James ', ' Brinley Hall ', ' Ed Sirl ']",Pop,"(47.55959860000001, 7.588576099999999)"
Aarau,Protoje-&-The-Indiggnation,2015-04-01,['Protoje & The Indiggnation '],,"(47.390434, 8.045701499999998)"
Zürich,Bukowski,2015-04-01,['Belly Hole Freak '],Electronic,"(47.3768866, 8.541694)"
Zürich,Bibi-Vaplan,2015-04-01,"['Bibi Vaplan ', ' Bibi Vaplan ', ' Martina Berther ', ' Dario Sisera ']",Pop,"(47.3768866, 8.541694)"
Basel,Masterrezital,2014-06-03,[' Joachim Müller-Crepon '],Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Masterrezital,2014-06-03,[' Sharon Prushansky '],Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Masterrezital,2014-06-03,"[' Mathilde Raemy ', ' Carl Wolf ']",Classic,"(47.55959860000001, 7.588576099999999)"
Luzern,Piano-Entertainment,2014-06-03,['Mark Tenger '],,"(47.05016819999999, 8.309307200000001)"
Luzern,Masterabschluss-Konzert,2014-06-03,"[' Lukas Weber ', ' David Koch ', ' Ramon Landolt ', ' Mario Hänni ']",,"(47.05016819999999, 8.309307200000001)"
Zürich,Musik-&-Kunst-für-Bildung,2014-06-03,['Kelly Thomas '],Classic,"(47.3768866, 8.541694)"
Zürich,Konzert,2014-06-03,"[' Vilde Frang ', ' Nils Mönkemeyer ']",Classic,"(47.3768866, 8.541694)"
Basel,Masterrezital,2014-06-03,[' Vanessa Hunt Russell '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Isländischer-Jugendchor-Hamrahlíd,2014-06-03,['Hamrahlid '],,"(47.3768866, 8.541694)"
Basel,Aliéksey-Vianna-Trio-feat.-Viviane-de-Farias,2014-06-03,"[' Viviane de Farias ', ' Aliéksey Vianna ', ' Stephan Kurmann ', ' Mauro Martins ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Sabrina-&-The-Navigators,2014-06-03,['Sabrina & The Navigators '],,"(47.3768866, 8.541694)"
Zürich,The-Natural-Dub-Cluster,2014-06-03,['The Natural Dub Cluster '],Electronic,"(47.3768866, 8.541694)"
Solothurn,The-Fratellis,2014-06-03,['The Fratellis '],,"(47.2088348, 7.532291)"
Winterthur,Nacht,2014-06-03,['Unsere Lieblinge '],Pop,"(47.49881959999999, 8.723688899999999)"
Burgdorf,Young-Artists,2014-06-03,"[' Marc Amacher ', ' Dominik Liechti ']",,"(47.0559357, 7.627224299999999)"
Zürich,Pusha-T,2014-06-03,['Pusha T '],,"(47.3768866, 8.541694)"
Zürich,Robbie-Williams,2014-06-03,['Robbie Williams '],Pop,"(47.3768866, 8.541694)"
Basel,Abschlusskonzert,2014-06-03,[' Chisaki Kito '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Dan-Stuart-&-Chris-Cacavas,2014-06-03,['Dan Stuart & Chris Cacavas '],,"(47.3768866, 8.541694)"
Zürich,Hazmat-Modine,2014-06-03,"[' Wade Schumann ', ' Erik Della Penna ', ' Rachelle Garniez ', ' Graham Hawthorne ']",,"(47.3768866, 8.541694)"
Zürich,Mittagsmusik,2015-02-04,"['Barbara Böhi ', ' Tobias Cramm ']",Classic,"(47.3768866, 8.541694)"
Basel,Fas(ten)nachtsimpressionen,2015-02-04,['Urs Höchle '],Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Divers-divertissements-d'hiver,2015-02-04,"[' Susanne Mathé ', ' Isabelle Ladewig ', ' Stella Mahrenholz ', ' Stéphanie Meyer ', ' Jan Schultsz ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Tonhalle-Orchester-Zürich,2015-02-04,"[' Hana Blazíková ', ' Tilman Lichdi ', ' Andreas Weller ', ' Klaus Mertens ']",Classic,"(47.3768866, 8.541694)"
Zürich,Stephan-Schmidt-und-I-Tempi,2015-02-04,[' Stephan Schmidt '],Classic,"(47.3768866, 8.541694)"
Baden,One-of-a-Million,2015-02-04,['Neøv '],,"(47.47288, 8.308089999999998)"
Basel,Atmosphères,2015-02-04,[' Francesco Piemontesi '],Classic,"(47.55959860000001, 7.588576099999999)"
Luzern,Sinfoniekonzert,2015-02-04,[' Rafa Blechacz '],Classic,"(47.05016819999999, 8.309307200000001)"
Zürich,Pools,2015-02-04,"[' Yves Martinek ', ' Willy Ramos ', ' Thomas Sonderegger ']",Pop,"(47.3768866, 8.541694)"
Zürich,Steamboat-Switzerland,2015-02-04,"[' Dominik Blum ', ' Marino Pliakas ', ' Lucas Niggli ']",,"(47.3768866, 8.541694)"
Zürich,Jazzbaragge-Wednesday-Jam,2015-02-04,"['Jörg Enz ', ' Reinhold Hettich ', ' Jörg Bach ']",,"(47.3768866, 8.541694)"
Luzern,Jam-Night-,2015-02-04,"['Claudio Berger ', ' Flurin Iten ', ' Lukas Derungs ', ' Albon ']",,"(47.05016819999999, 8.309307200000001)"
Zürich,Bombino,2015-02-04,"['Bombino ', ' Goumour Almoctar ', ' Dia Djakrave ', ' Avi Salloway ', ' Corey Wilhelm ']",,"(47.3768866, 8.541694)"
Bern,Necro,2015-02-04,['Necro '],,"(46.9479739, 7.447446800000001)"
Basel,Lisette-Spinnler-Quartet,2015-02-04,"[' Lisette Spinnler ', ' Stefan Aeby ', ' Patrice Moret ', ' Michi Stulz ']",,"(47.55959860000001, 7.588576099999999)"
Wädenswil,Suisse-Diagonales-Jazz,2015-02-04,"[' Florian Favre ', ' Manu Hagmann ', ' Alexandre Maurer ', ' Nicole Johänntgen ', ' Marc Mean ', ' Thomas Lähns ', ' Bodek Janke ']",,"(47.22968710000001, 8.6718189)"
Basel,Extrafish,2015-02-04,"[' DJs Valentin Baumgartner ', ' Andi Bissig ', ' Jonas Künzli ', ' Adrian Böckli ']",,"(47.55959860000001, 7.588576099999999)"
Baden,One-of-a-Million,2015-02-04,['Kins '],,"(47.47288, 8.308089999999998)"
Baden,One-of-a-Million,2015-02-04,['Erotic Market '],,"(47.47288, 8.308089999999998)"
Zürich,Nuggi-Konzert,2015-11-21,"['Asa Konishi ', ' Silviya Savova-Hartkamp ', ' Frauke Tometten Molino ', ' Albert Hartkamp ']",Classic,"(47.3768866, 8.541694)"
Zürich,Kammermusik,2015-11-21,"['Asa Konishi Jankowska ', ' Silviya Savova-Hartkamp ', ' Frauke Tometten Molino ', ' Albert Hartkamp ']",Classic,"(47.3768866, 8.541694)"
Bern,Bernische-Chopin-Gesellschaft,2015-11-21,['Mateusz Borowiak '],Classic,"(46.9479739, 7.447446800000001)"
Zürich,Monte-Carlo,2015-11-21,['Monte Carlo '],Pop,"(47.3768866, 8.541694)"
Bern,Geistliches-Konzert-zur-170.-Cäcilienfeier-der-Berner-Liedertafel,2015-11-21,[' Imre Gajdos '],Classic,"(46.9479739, 7.447446800000001)"
Thalwil,Alexander's-Feast,2015-11-21,"[' Fanziska Zimmerli ', ' Daniel Bentz ', ' Peter Brechbühler ']",Classic,"(47.2949282, 8.564479899999998)"
Wallisellen,This-Shining-Night,2015-11-21,[' Christoph Küderli '],Classic,"(47.4156189, 8.588972199999999)"
Zug,Unsere-Orgel-wird-20-Jahre,2015-11-21,"['Gabor Nemeti ', ' Beat Hodener ', ' Verena Zemp ']",Classic,"(47.1661672, 8.5154946)"
Luzern,Lucerne-Festival-am-Piano,2015-11-21,['Sir András Schiff '],Classic,"(47.05016819999999, 8.309307200000001)"
Zürich,Greeen,2015-11-21,['Greeen '],,"(47.3768866, 8.541694)"
Baden,Badener-Meisterkonzerte,2015-11-21,['Andreas von Wangenheim '],Classic,"(47.47288, 8.308089999999998)"
Winterthur,Winterthurer-Streichquartett,2015-11-21,"['Roberto González Monjas ', ' Pär Näsbom ', ' Jürg Dähler ', ' Cäcilia Chmel ']",Classic,"(47.49881959999999, 8.723688899999999)"
Zürich,Akademisches-Kammerorchester-Zürich-&-Choeur-Laudate-Deum,2015-11-21,"['Laurence Guillod ', ' Annina Haug ', ' Valerio Contaldo ', ' Rudolf Rosen ']",Classic,"(47.3768866, 8.541694)"
Zürich,John-Grant,2015-11-21,['John Grant '],Pop,"(47.3768866, 8.541694)"
Zürich,Erscheinung,2015-11-21,"[' Hannes Bärtschi ', ' Thomas Demenga ']",Classic,"(47.3768866, 8.541694)"
Solothurn,Spektrum-Akzente-Crossover,2015-11-21,"[' Marielle Oggier ', ' Marc Bätscher ', ' Ursula Hächler ', ' zu Gast: Gregor Loepfe ']",Classic,"(47.2088348, 7.532291)"
Weinfelden,Orchesterverein-Zürich,2015-11-21,[' Ignazio Pisana '],Classic,"(47.56602989999999, 9.1084456)"
Zürich,Miserere-,2015-11-21,"[' Aurea Marston ', ' Timo Klieber ', ' William Lombardi ']",Classic,"(47.3768866, 8.541694)"
Zürich,Griz,2015-11-21,['Griz '],Electronic,"(47.3768866, 8.541694)"
Buchs,Naturstimmen-on-Tour,2015-11-21,"['Mariana Sadovska ', ' Outi Pulkkinen ']",,"(47.16554029999999, 9.4708594)"
Wetzikon,Coldspell,2015-11-21,['Coldspell '],,"(47.3270602, 8.801356)"
Solothurn,Schandmaul,2015-11-21,"['Schandmaul ', ' Schandmäulchen ']",,"(47.2088348, 7.532291)"
Pratteln,Fish,2015-11-21,"['Fish ', ' LAzuli ']",,"(47.5183198, 7.6919889)"
Basel,Feuer-Ignis,2015-11-21,"[' Isabelle Schnöller ', ' Karin Dornbusch ', ' Bastian Pfefferli ', ' Helena Winkelman ', ' Mirka Scepanovic ', ' Alessandro DAmico ']",Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Söhne-Mannheims,2015-11-21,['Söhne Mannheims '],,"(47.55959860000001, 7.588576099999999)"
Basel,Missa-solemnis,2015-11-21,"[' Marion Ammann ', ' Katja Starke ', ' Jörg Dürmüller ', ' Martin Achrainer ', ' Christoph Hesse ']",Classic,"(47.55959860000001, 7.588576099999999)"
Winterthur,Antilopen-Gang,2015-11-21,['Antilopen Gang '],,"(47.49881959999999, 8.723688899999999)"
Zürich,One-Thousand-Notes-for-You-and-One-for-Me,2015-11-21,"['Satoko Inoue ', ' Hildegard Kleeb ', ' Lara Stanic ', ' Olga Kokcharova ']",Classic,"(47.3768866, 8.541694)"
