,place,src,address,location,canton,event,date,artists,genre,coordinates
31600,None,EventsCh,None,Bern,BE,Internationales-Jazzfestival-Bern,2016-05-21,"['John Michael Bradford', 'Isaiah Thompson', 'Daniel Winshall', 'Jared Silverstein']",,"(46.9479739, 7.4474468)"
31700,None,EventsCh,None,Basel,BS,Mimiko-Sevilla,2016-05-25,['Marco Bartoli'],orchestral,"(47.5595986, 7.5885761)"
31800,None,EventsCh,None,None,None,N.I.K.O.,2016-05-27,['N.I.K.O'],,"(46.6377269, 9.279877)"
31900,None,EventsCh,None,Lucerne,LU,Master-Abschlusskonzerte,2016-05-31,"['Paticia Samaniego', 'Cinzia Catania']",,"(47.0501682, 8.3093072)"
32000,None,EventsCh,None,Pully,VD,Festival-Pully-Lavaux-à-l'heure-du-Québec,2016-06-04,['Dylan Perron et Élixir de Gumbo'],,"(46.5092681, 6.6654949)"
32100,None,EventsCh,None,Zürich,ZH,Alice-Phoebe-Lou,2016-06-08,['Alice Phoebe Lou'],pop,"(47.3768866, 8.541694)"
32200,None,EventsCh,None,Winterthur,ZH,Nah-am-Wasser,2016-06-12,"['Mélanie Adami', 'Åsa Dornbusch', 'Rahel Sohn']",orchestral,"(47.4988196, 8.7236889)"
32300,None,EventsCh,None,Zürich,ZH,Festspiele-Zürich-Harley-Davidson,2016-06-18,"['Ingvo Clauder', 'Sabine Ercklentz']",orchestral,"(47.3768866, 8.541694)"
32400,None,EventsCh,None,Interlaken,BE,Trucker-&-Country-Festival-Interlaken,2016-06-24,['Keith Sterling Brewer Band'],,"(46.6863481, 7.8632049)"
32500,None,EventsCh,None,Lucerne,LU,Master-Abschlusskonzerte,2016-06-29,['Alexandre Beuchat'],orchestral,"(47.0501682, 8.3093072)"
32600,None,EventsCh,None,Frauenfeld,TG,Openair-Frauenfeld,2016-07-07,"['Cunninlynguists', 'Coely', 'Frauenarzt', 'Audio 88 & Yassin']",electronic,"(47.5535997, 8.8987541)"
32700,None,EventsCh,None,Saanen,BE,Musique-&-Famille-I-Sisters-I,2016-07-14,"['Katia Labèque', 'Marielle Labèque']",latin,"(46.4741066, 7.2854921)"
32800,None,EventsCh,None,Lucerne,LU,Blue-Balls-Festival,2016-07-22,['Frances'],pop,"(47.0501682, 8.3093072)"
32900,None,EventsCh,None,St Moritz,GR,Festival-da-Jazz,2016-07-28,"['Bê Ignacio', 'Bê Ignacio', 'Or Pellet Santos', 'Edmundo Carneiro', 'Markus Schmidt']",pop,"(46.4907973, 9.8355079)"
33000,None,EventsCh,None,Pratteln,BL,River-Nights,2016-08-05,"['Selah Sue', 'Marlon Roudette', 'Candy Dulfer']",caribbean and caribbean-influenced,"(47.5183198, 7.6919889)"
33100,None,EventsCh,None,None,None,Die-Steinkönigin,2016-08-14,"['Silvia Jost', 'Kathrin Hartmann']",orchestral,"(46.6377269, 9.279877)"
33200,None,EventsCh,None,Lucerne,LU,Lucerne-Festival-Erlebnistag-Konzert-5,2016-08-21,['Yulianna Avdeeva'],orchestral,"(47.0501682, 8.3093072)"
33300,None,EventsCh,None,Zürich,ZH,Panflöten-Sommerkonzert,2016-08-28,['Taras Berchtold'],orchestral,"(47.3768866, 8.541694)"
33400,None,EventsCh,None,Saanen,BE,Happy-Happy-Birthday-Yehudi,2016-09-03,"['Roby Lakatos', 'Gilles Apap', 'Valery Sokolov', 'Volker Biesenbender']",orchestral,"(46.4717588, 7.2865728)"
33500,None,EventsCh,None,Zürich,ZH,Luigi-Archett-&-Bo-Wiget,2016-09-09,"['Luigi Archetti', 'Bo Wiget']",electronic,"(47.3768866, 8.541694)"
33600,None,EventsCh,None,Winterthur,ZH,Saisoneröffnung,2016-09-15,['Heinz Holliger'],orchestral,"(47.4988196, 8.7236889)"
33700,None,EventsCh,None,Bern,BE,Puerta-Sur,2016-09-18,['Puerta Sur'],,"(46.9479739, 7.4474468)"
33800,None,EventsCh,None,Basel,BS,Orgelgschicht-am-Matthäusmarkt,2016-09-24,['Françoise Matile'],orchestral,"(47.5595986, 7.5885761)"
33900,None,EventsCh,None,Zürich,ZH,Straymonk,2016-09-28,"['Nat Su', 'Gabriel Dalvit', 'Dominique Girod', 'Jonas Ruther']",electronic,"(47.3768866, 8.541694)"
34000,None,EventsCh,None,Thun,BE,Blackout-Problems,2016-10-01,['Blackout Problems'],,"(46.7579868, 7.6279881)"
34100,None,EventsCh,None,Zürich,ZH,Yak,2016-10-06,['Yak'],rock,"(47.3768866, 8.541694)"
34200,None,EventsCh,None,Zürich,ZH,Wintersleep,2016-10-10,['Wintersleep'],rock,"(47.3768866, 8.541694)"
34300,None,EventsCh,None,Bad Ragaz,SG,Music-Connects,2016-10-15,"['Andrei Ionita', 'Yury Revich', 'Petrit Ceku']",orchestral,"(47.0034141, 9.5011062)"
34400,None,EventsCh,None,Zürich,ZH,Jazzbaragge-Wednesday-Jam,2016-10-19,"['Gauthier Toux', 'Kenneth Dahl Knudsen', 'Maxence Sibille']",,"(47.3768866, 8.541694)"
34500,None,EventsCh,None,Wetzikon,ZH,Untrue-The-Band,2016-10-22,"['Norbert Brasser', 'Jürg Maag']",,"(47.3270602, 8.801356)"
34600,None,EventsCh,None,Zürich,ZH,Nicolas-Stocker,2016-10-26,"['Nicolas Stocker', 'Raphael Loher', 'Urs Müller']",,"(47.3768866, 8.541694)"
34700,None,EventsCh,None,Basel,BS,Musikaalischi-Mässmögge,2016-10-29,['Ursula Hauser'],,"(47.5595986, 7.5885761)"
34800,None,EventsCh,None,Zürich,ZH,Jamie-Lidell,2016-11-01,['Jamie Lidell'],r&b and soul,"(47.3768866, 8.541694)"
34900,None,EventsCh,None,Zürich,ZH,Negura-Bunget,2016-11-04,"['Negura Bunget', 'Ossific']",rock,"(47.3768866, 8.541694)"
35000,None,EventsCh,None,Lausanne,VD,Civil-Civic,2016-11-06,['Civil Civic'],avant-garde,"(46.5196535, 6.6322734)"
35100,None,EventsCh,None,Dübendorf,ZH,Peter-Schärli-Trio-feat.-Glenn-Ferris,2016-11-11,"['Peter Schärli', 'Glenn Ferris', 'Hans-Peter Pfammatter', 'Thomas Dürst']",jazz,"(47.3971476, 8.6180128)"
35200,None,EventsCh,None,Zürich,ZH,Orchestermagie,2016-11-14,['Kristian Bezuidenhout'],orchestral,"(47.3768866, 8.541694)"
35300,None,EventsCh,None,Winterthur,ZH,Midi-musical,2016-11-18,"['Mija Läuchli', 'Pär Näsbom', 'Serafina Rufer', 'Florian Läuchli']",orchestral,"(47.4988196, 8.7236889)"
35400,None,EventsCh,None,Zürich,ZH,Kammermusik,2016-11-20,"['Asa Konishi Jankowska', 'Silviya Savova-Hartkamp', 'Frauke Tometten Molino', 'Albert Hartkamp', 'Suguru Ito']",orchestral,"(47.3768866, 8.541694)"
35500,None,EventsCh,None,Lucerne,LU,Psychedelic-Mountain,2016-11-23,"['Christoph Merki', 'Daniel Schenker', 'Ramon Ziegler', 'Lars Carl Schmid', 'Mario von Holten', 'Stephan Athanas', 'Tony Renold']",,"(47.0501682, 8.3093072)"
35600,None,EventsCh,None,Zürich,ZH,Ziggy-Zaggy-&-The-Disco-Popes,2016-11-26,"['Ziggy Tschigi Moser', 'Roman Groner', 'Martin Günthardt', 'Chris Linder', 'Arturo Arglos']",pop,"(47.3768866, 8.541694)"
35700,None,EventsCh,None,Paris,Île-de-France,null,2016-11-30,['Filip Micha Saffray'],orchestral,"(48.8788648, 2.2831446)"
35800,None,EventsCh,None,Zürich,ZH,Marathon-der-Liebe-IOIC-Stummfilm-Festival,2016-12-03,"['Ménilmontant', ""Brumes d'automne""]",orchestral,"(47.3768866, 8.541694)"
35900,None,EventsCh,None,Basel,BS,Eduardo-Machado-Trio,2016-12-06,"['Eduardo Machado Trio', 'Gil Reis', 'Eduardo Machado', 'Fernando Rast']",unknown,"(47.5595986, 7.5885761)"
36000,None,EventsCh,None,Basel,BS,Trommelzauber,2016-12-10,"[""Magatte N'diaye""]",,"(47.5595986, 7.5885761)"
36100,None,EventsCh,None,Basel,BS,Mimiko-Lento-et-sostenuto,2016-12-14,['Alessio Pianelli'],orchestral,"(47.5595986, 7.5885761)"
36200,None,EventsCh,None,Lindau,BY,Adventskonzert,2016-12-17,['Emanuel Rütsche'],orchestral,"(47.5797815, 9.6789333)"
36300,None,EventsCh,None,Zürich,ZH,Werkstattkonzert,2016-12-23,"['Silcan Jeger', 'Silvan Schmid', 'Jonas Labhart', 'Gabriela Friedli', 'Sandra Weiss', 'Christian Weber']",electronic,"(47.3768866, 8.541694)"
36400,None,RDF,None,Nyon,VD,PALEO FESTIVAL,2006-07-18,[],,"(46.3832683, 6.2347852)"
36500,None,RDF,None,Geneva,GE,MUSIQUES EN ETE,2007-07-20,[],,"(46.2043907, 6.1431577)"
36600,None,RDF,None,Sierre,VS,SISMICS FESTIVAL,2008-05-23,[],,"(46.2941311, 7.5335362)"
36700,None,RDF,None,Geneva,GE,LES TRAVERSES MUSICALES,2009-02-26,[],,"(46.2043907, 6.1431577)"
36800,None,RDF,None,Montreux,VD,SEPTEMBRE MUSICAL,2009-08-28,[],,"(46.4312213, 6.9106799)"
36900,None,RDF,None,Bourg-en-Lavaux,VD,LAVAUX CLASSIQUE,2010-06-23,[],,"(46.4895985, 6.7290888)"
37000,None,RDF,None,Chambéry,Auvergne-Rhône-Alpes,TRANSVOISINES,2010-11-09,[],,"(45.564601, 5.917781)"
37100,None,RDF,None,Locarno,TI,MOON AND STARS,2011-07-14,[],,"(46.1669988, 8.7942643)"
37200,None,RDF,None,Troinex,GE,ANTIGEL,2012-02-06,[],,"(46.1640891, 6.1450701)"
37300,None,RDF,None,Puplinge,GE,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-07-26,[],,"(46.2105553, 6.2317139)"
37400,None,RDF,None,Geneva,GE,ANTIGEL,2013-01-29,[],,"(46.2043907, 6.1431577)"
37500,None,RDF,None,Geneva,GE,MUSIQUES EN ETE,2013-08-21,[],,"(46.2043907, 6.1431577)"
37600,None,RDF,None,Pully,VD,PULLY A L'HEURE DU QUEBEC,2014-06-11,[],,"(46.5092681, 6.6654949)"
37700,None,RDF,None,Lausanne,VD,JAZZ ONZE +,2014-10-31,[],,"(46.5196535, 6.6322734)"
37800,None,RDF,None,Geneva,GE,MUSIQUES EN ETE,2015-07-27,[],,"(46.2043907, 6.1431577)"
37900,None,RDF,None,Leysin,VD,WORLDWIDE FESTIVAL LEYSIN,2016-03-19,[],,"(46.3435634, 7.012033)"
38000,None,RDF,None,Carouge,GE,MURS DU SON A CAROUGE,2016-09-09,[],,"(46.1829674, 6.1378539)"
