,location,event,date,artists,genre,coordinates
1571,Mezieres,PULLY A L'HEURE DU QUEBEC,2016-06-12,[MICHEL BUHLER],,"(46.5955273, 6.7702883)"
1572,Payerne,RED PIGS FESTIVAL,2016-06-23,[CHRISTOPHE WILLEM],,"(46.8220266, 6.9405663)"
1573,Payerne,RED PIGS FESTIVAL,2016-06-24,[SOLDAT LOUIS],,"(46.8220266, 6.9405663)"
1574,Payerne,RED PIGS FESTIVAL,2016-06-25,[SILVER DUST],,"(46.8220266, 6.9405663)"
1575,Geneve,L'AMR AUX CROPETTES,2016-06-29,[MATHIEU ROSSIGNELLY],,"(46.2043907, 6.1431577)"
1576,Saint Gallen,OPEN AIR DE SAINT GALLEN,2016-06-30,[FETTES BROT],,"(47.4244818, 9.3767173)"
1577,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2016-07-01,[JON MORE],,"(46.29413110000001, 7.533536199999999)"
1578,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2016-07-02,[STAVROZ],,"(46.29413110000001, 7.533536199999999)"
1579,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2016-07-03,[IMPERIAL TABASCO],,"(46.29413110000001, 7.533536199999999)"
1580,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-04,"[BUDDY GUY, BASIA BULAT, ASAP FERG]",,"(46.4312213, 6.9106799)"
1581,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-05,"[MOGWAI, SELWYN BIRCHWOOD, AURORA]",,"(46.4312213, 6.9106799)"
1582,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-06,"[PATTI SMITH, YARON HERMAN, MESHUGGAH]",,"(46.4312213, 6.9106799)"
1583,Frauenfeld,OPENAIR FRAUENFELD,2016-07-07,[BREITBILD],,"(47.5535997, 8.8987541)"
1584,Frauenfeld,OPENAIR FRAUENFELD,2016-07-08,[HOPSIN],,"(47.5535997, 8.8987541)"
1585,Frauenfeld,OPENAIR FRAUENFELD,2016-07-09,[PULLUP ORCHESTRA],,"(47.5535997, 8.8987541)"
1586,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-10,"[LAMUZGUEULE, ANGELIQUE KIDJO, AVISHAI COHEN (trompette), OTHER LIVES]",,"(46.4312213, 6.9106799)"
1587,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-11,"[JEAN MICHEL JARRE, CHRISTIAN SCOTT, ALLAH LAS]",,"(46.4312213, 6.9106799)"
1588,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-12,"[NEIL YOUNG & PROMISE OF THE REAL, ULF WAKENIUS, HAELOS]",,"(46.4312213, 6.9106799)"
1589,Locarno,MOON AND STARS,2016-07-13,[PHARRELL WILLIAMS],,"(46.16699879999999, 8.7942643)"
1590,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-14,[RICHARD GALLIANO],,"(46.8496401, 6.845060800000001)"
1591,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-15,[JEREMY PELT],,"(46.8496401, 6.845060800000001)"
1592,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-16,[ULF WAKENIUS],,"(46.8496401, 6.845060800000001)"
1593,Locarno,MOON AND STARS,2016-07-17,[77 BOMBAY STREET],,"(46.16699879999999, 8.7942643)"
1594,Nyon,PALEO FESTIVAL,2016-07-19,[MUSE],,"(46.3832683, 6.2347852)"
1595,Nyon,PALEO FESTIVAL,2016-07-20,[LOUISE ATTAQUE],,"(46.3832683, 6.2347852)"
1596,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-21,[FANFARIBOLE],,"(46.1049798, 7.075533399999999)"
1597,Sion,PALP FESTIVAL (PLACE A LA PLACE),2016-07-22,[BYE BENECO],,"(46.2331221, 7.360625999999999)"
1598,Nyon,PALEO FESTIVAL,2016-07-23,[THE CHEMICAL BROTHERS],,"(46.3832683, 6.2347852)"
1599,Nyon,PALEO FESTIVAL,2016-07-24,[MICHEL POLNAREFF],,"(46.3832683, 6.2347852)"
1600,Vallorcine,COSMOJAZZ FESTIVAL,2016-07-25,[ELINA DUNI],,"(46.033505, 6.931817)"
1601,Les Houches,COSMOJAZZ FESTIVAL,2016-07-27,[ANDREAS SCHAERER],,"(45.89038799999999, 6.798735)"
1602,Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2016-07-28,"[BLICK BASSY, CEUX QUI MARCHENT DEBOUT (CQMD)]",,"(45.923697, 6.869433)"
1603,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-29,[XY],,"(46.1049798, 7.075533399999999)"
1604,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-30,[ARNO],,"(46.1049798, 7.075533399999999)"
1605,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-31,[FANFARIBOLE],,"(46.1049798, 7.075533399999999)"
1606,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-04,[TRIO TRIOCHE],,"(46.1049798, 7.075533399999999)"
1607,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-05,[MARK LANEGAN],,"(46.1049798, 7.075533399999999)"
1608,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-06,"[SYSTEMA SOLAR, MARK LANEGAN]",,"(46.1049798, 7.075533399999999)"
1609,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-07,[LA YEGROS],,"(46.1049798, 7.075533399999999)"
1610,Le Locle,ROCK ALTITUDE,2016-08-10,[STEVE 'N' SEAGULLS],,"(47.0577195, 6.7487354)"
1611,Le Locle,ROCK ALTITUDE,2016-08-11,[KADEBOSTANY],,"(47.0577195, 6.7487354)"
1612,Le Locle,ROCK ALTITUDE,2016-08-12,[MUTOID MAN],,"(47.0577195, 6.7487354)"
1613,Le Locle,ROCK ALTITUDE,2016-08-13,[STUCK IN THE SOUND],,"(47.0577195, 6.7487354)"
1614,Bagnes,PALP FESTIVAL (PLACE A LA PLACE),2016-08-14,[THE YOUNG GODS],,"(46.07173, 7.22404)"
1615,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-16,[JELLO BIAFRA],,"(46.1049798, 7.075533399999999)"
1616,Penthalaz,VENOGE FESTIVAL,2016-08-17,[KOOL & THE GANG],,"(46.6097989, 6.525440199999999)"
1617,Penthalaz,VENOGE FESTIVAL,2016-08-18,[ALPHA BLONDY],,"(46.6097989, 6.525440199999999)"
1618,Penthalaz,VENOGE FESTIVAL,2016-08-19,[BASTIAN BAKER],,"(46.6097989, 6.525440199999999)"
1619,Penthalaz,VENOGE FESTIVAL,2016-08-20,[FRERO DELAVEGA],,"(46.6097989, 6.525440199999999)"
1620,Sion,PALP FESTIVAL (PLACE A LA PLACE),2016-08-25,[THEE OH SEES],,"(46.2331221, 7.360625999999999)"
1621,Vevey,NOX ORAE,2016-08-26,[THURSTON MOORE (SONIC YOUTH)],,"(46.4628333, 6.8419192)"
1622,Montreux,SEPTEMBRE MUSICAL,2016-08-27,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES],,"(46.4312213, 6.9106799)"
1623,Montreux,SEPTEMBRE MUSICAL,2016-08-28,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES],,"(46.4312213, 6.9106799)"
1624,Montreux,SEPTEMBRE MUSICAL,2016-08-30,[YOUTH ORCHESTRA OF BAHIA],,"(46.4312213, 6.9106799)"
1625,Bulle,FRANCOMANIAS,2016-08-31,"[YOUSSOUPHA, JOHN DEAR]",,"(46.6154512, 7.057726799999999)"
1626,Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-01,[PATRICK BRUEL],,"(46.3045233, 7.5389954)"
1627,Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-02,[THE LOCOS],,"(46.3045233, 7.5389954)"
1628,Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-03,[2 MANY DJ'S],,"(46.3045233, 7.5389954)"
1629,Meyrin,FESTIVAL DE LA BATIE,2016-09-05,[GUILHERME BOTELHO],,"(46.2283204, 6.070988)"
1630,Geneve,FESTIVAL DE LA BATIE,2016-09-06,"[CAROLINE BERGVALL, EVELINE MURENBEELD, MARIE CAROLINE HOMINAL, BEAK >]",,"(46.2043907, 6.1431577)"
1631,Grand Saconnex,FESTIVAL DE LA BATIE,2016-09-07,[BERTRAND BOSSARD],,"(46.2331904, 6.1231633)"
1632,Nyon,FESTIVAL DE LA BATIE,2016-09-08,[CHARLIE CUNNINGHAM],,"(46.3832683, 6.2347852)"
1633,Carouge,MURS DU SON A CAROUGE,2016-09-09,[FOXTROTT],,"(46.1829674, 6.1378539)"
1634,Carouge,MURS DU SON A CAROUGE,2016-09-10,[LADYBIRDS],,"(46.1829674, 6.1378539)"
1635,Les Acacias,FESTIVAL DE LA BATIE,2016-09-12,[CECILIA BENGOLEA],,"(46.1829674, 6.1378539)"
1636,Onex,FESTIVAL DE LA BATIE,2016-09-13,[MIOSSEC],,"(46.183541, 6.1002345)"
1637,Les Acacias,FESTIVAL DE LA BATIE,2016-09-14,[FRANCOIS CHAIGNAUD],,"(46.1829674, 6.1378539)"
1638,Les Acacias,FESTIVAL DE LA BATIE,2016-09-15,[THEO MERCIER],,"(46.1829674, 6.1378539)"
1639,Les Acacias,FESTIVAL DE LA BATIE,2016-09-16,"[TOSHIKI OKADA, FRANCOIS CHAIGNAUD]",,"(46.1829674, 6.1378539)"
1640,Les Acacias,FESTIVAL DE LA BATIE,2016-09-17,[TOSHIKI OKADA],,"(46.1829674, 6.1378539)"
1641,Etagnieres,CROC THE ROCK,2016-09-27,[KADEBOSTANY],,"(46.5998975, 6.612918500000001)"
1642,Thonon Les Bains,JAZZCONTREBAND,2016-10-01,[MICHEL PORTAL],,"(46.373565, 6.477634999999999)"
1643,Carouge,JAZZCONTREBAND,2016-10-04,[INGRID KAMBARA],,"(46.1829674, 6.1378539)"
1644,Annemasse,JAZZCONTREBAND,2016-10-05,[CELINE BONACINA],,"(46.19325300000001, 6.234158)"
1645,Marcellaz,JAZZCONTREBAND,2016-10-06,[WEJAZZ],,"(46.145302, 6.355041)"
1646,Yverdon Les Bains,JAZZCONTREBAND,2016-10-07,[LALALA NAPOLI],,"(46.7784736, 6.641183)"
1647,Sion,JAZZCONTREBAND,2016-10-08,[HELMY MORE FUNKER'S BIG BAND HMF],,"(46.2331221, 7.360625999999999)"
1648,Thonon Les Bains,JAZZCONTREBAND,2016-10-11,[HUGH COLTMAN],,"(46.373565, 6.477634999999999)"
1649,Annecy,JAZZCONTREBAND,2016-10-12,[MATHIEU ROSSIGNELLY],,"(45.899247, 6.129384)"
1650,Le Lignon,VERNIER SUR ROCK,2016-10-13,[SAMAEL],,"(46.203703, 6.0961889)"
1651,Le Lignon,VERNIER SUR ROCK,2016-10-15,[DJ MAKALA],,"(46.203703, 6.0961889)"
1652,Gstaad,MDRNTY,2016-10-16,[GUTI],,"(46.4717588, 7.2865728)"
1653,Geneve,JAZZCONTREBAND,2016-10-17,[GREGOR VIDIC],,"(46.2043907, 6.1431577)"
1654,Geneve,JAZZCONTREBAND,2016-10-18,[GREGOR VIDIC],,"(46.2043907, 6.1431577)"
1655,Saint Genis Pouilly,JAZZCONTREBAND,2016-10-19,[BELLE EPOQUE (EMILE PARISIEN / VINCENT PEIRANI)],,"(46.2437479, 6.02513)"
1656,Onex,JAZZCONTREBAND,2016-10-20,[MARC PERRENOUD],,"(46.183541, 6.1002345)"
1657,Onex,JAZZCONTREBAND,2016-10-21,[MARC PERRENOUD],,"(46.183541, 6.1002345)"
1658,Saint Claude,JAZZCONTREBAND,2016-10-22,[DASHUR],,"(46.387405, 5.867765899999999)"
1659,Marcellaz,JAZZCONTREBAND,2016-10-23,[SOLARIAN],,"(46.145302, 6.355041)"
1660,Nyon,JAZZCONTREBAND,2016-10-28,[ELECTRO DELUXE],,"(46.3832683, 6.2347852)"
1661,Lausanne,JAZZCONTREBAND,2016-10-29,[SAMUEL BLASER],,"(46.5196535, 6.6322734)"
1662,Lausanne,FESTIVAL BACH DE LAUSANNE,2016-10-30,[THE ENGLISH CONCERT],,"(46.5196535, 6.6322734)"
1663,Lausanne,JAZZ ONZE +,2016-11-02,"[LEON PHAL, FLORIAN FAVRE, GARY PEACOCK]",,"(46.5196535, 6.6322734)"
1664,Lausanne,JAZZ ONZE +,2016-11-03,"[JOSQUIN ROSSET, DAVID SANBORN, MARCUS STRICKLAND, TERRACE MARTIN]",,"(46.5196535, 6.6322734)"
1665,Lausanne,JAZZ ONZE +,2016-11-04,"[AA TRIO, JULIAN SARTORIUS, DAVE HOLLAND, THE HOT 8 BRASS BAND]",,"(46.5196535, 6.6322734)"
1666,Lausanne,JAZZ ONZE +,2016-11-05,"[ETIENNE LOUPOT, AMINE & HAMZA M'RAHI, DHAFER YOUSSEF, PABLO NOUVELLE]",,"(46.5196535, 6.6322734)"
1667,Lausanne,JAZZ ONZE +,2016-11-06,[JOHN SCOFIELD],,"(46.5196535, 6.6322734)"
1668,Lausanne,METROPOP FESTIVAL,2016-11-10,[VITALIC],,"(46.5196535, 6.6322734)"
1669,Lausanne,METROPOP FESTIVAL,2016-11-11,[THE KILLS],,"(46.5196535, 6.6322734)"
1670,Lausanne,METROPOP FESTIVAL,2016-11-12,[ANTHONY B],,"(46.5196535, 6.6322734)"
1671,Lausanne,FESTIVAL BACH DE LAUSANNE,2016-11-18,[FRIEDERIKE HEUMANN],,"(46.5196535, 6.6322734)"
1672,Geneve,FESTIVAL COULEUR CAFE GENEVE,2016-11-24,[FLAVIA COELHO],,"(46.2043907, 6.1431577)"
1673,Geneve,FESTIVAL COULEUR CAFE GENEVE,2016-11-25,[BABA TOURE],,"(46.2043907, 6.1431577)"
1674,Nyon,NYON'S ON FIRE,2016-11-26,[RISE OF THE NORTHSTAR],,"(46.3832683, 6.2347852)"
1675,Lausanne,FESTIVAL BACH DE LAUSANNE,2016-11-27,[JEAN TUBERY],,"(46.5196535, 6.6322734)"
1676,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2016-12-03,[SALUT C'EST COOL],,"(46.2382, 6.8519)"
1677,Le Paquier,CHRISTMAS ROCK,2016-12-17,[SOLDAT LOUIS],,"(46.5936084, 7.0554305)"
1678,Geneve,PSYCH FEST GENEVE,2017-01-19,[TRUMPETS OF CONSCIOUSNESS],,"(46.2043907, 6.1431577)"
1679,Geneve,PSYCH FEST GENEVE,2017-01-20,[THE EYE'S SHAKER],,"(46.2043907, 6.1431577)"
1680,Geneve,PSYCH FEST GENEVE,2017-01-21,[LAUREN STUART AND THE GOLDEN STATE OF MIND],,"(46.2043907, 6.1431577)"
1681,Geneve,ANTIGEL,2017-01-27,[ZERO],,"(46.2043907, 6.1431577)"
